Account Name,Parent Account,Account Number,Parent Account Number,Is Group,Account Type,Root Type,Account Currency
"État, impôt sur les bénéfices",État et collectivités publiques,44100000,44,0,Tax,Liability,
"État, autres impôts et taxes",État et collectivités publiques,442,44,1,Tax,Liability,
Impôts et taxes d’État,"État, autres impôts et taxes",44210000,442,0,Tax,Liability,
Impôts et taxes pour les collectivités publiques,"État, autres impôts et taxes",44220000,442,0,Tax,Liability,
Impôts et taxes recouvrables sur des obligataires,"État, autres impôts et taxes",44230000,442,0,Tax,Liability,
Impôts et taxes recouvrables sur des associés,"État, autres impôts et taxes",44240000,442,0,Tax,Liability,
Droits de douane,"État, autres impôts et taxes",44260000,442,0,Tax,Liability,
Autres impôts et taxes,"État, autres impôts et taxes",44280000,442,0,Tax,Liability,
"État, TVA facturée",État et collectivités publiques,443,44,1,Tax,Liability,
"État, TVA facturée",État et collectivités publiques,44300,44,0,Tax,Liability,
TVA facturée sur ventes,"État, TVA facturée",44310000,443,0,Tax,Liability,
TVA facturée sur prestations de services,"État, TVA facturée",44320000,443,0,Tax,Liability,
TVA facturée sur travaux,"État, TVA facturée",44330000,443,0,Tax,Liability,
TVA facturée sur production livrée à soi-même,"État, TVA facturée",44340000,443,0,Tax,Liability,
TVA sur factures à établir,"État, TVA facturée",44350000,443,0,Tax,Liability,
"État, TVA due ou crédit de TVA",État et collectivités publiques,444,44,1,Tax,Liability,
"État, TVA due","État, TVA due ou crédit de TVA",44410000,444,0,Tax,Liability,
"État, crédit de TVA à reporter","État, TVA due ou crédit de TVA",44490000,444,0,Tax,Liability,
"État, TVA récupérable",État et collectivités publiques,445,44,1,Tax,Liability,
TVA récupérable sur immobilisations,"État, TVA récupérable",44510000,445,0,Tax,Liability,
TVA récupérable sur achats,"État, TVA récupérable",44520000,445,0,Tax,Liability,
TVA récupérable sur transport,"État, TVA récupérable",44530000,445,0,Tax,Liability,
TVA récupérable sur services extérieurs et autres charges,"État, TVA récupérable",44540000,445,0,Tax,Liability,
TVA récupérable sur factures non parvenues,"État, TVA récupérable",44550000,445,0,Tax,Liability,
TVA transférée par d’autres entreprises,"État, TVA récupérable",44560000,445,0,Tax,Liability,
"État, autres taxes sur le chiffre d’affaires",État et collectivités publiques,44600000,44,0,Tax,Liability,
"État, impôts retenus à la source",État et collectivités publiques,447,44,1,Tax,Liability,
Impôt Général sur le revenu,"État, impôts retenus à la source",44710000,447,0,Tax,Liability,
Impôts sur salaires,"État, impôts retenus à la source",44720000,447,0,Tax,Liability,
Contribution nationale,"État, impôts retenus à la source",44730000,447,0,Tax,Liability,
Contribution nationale de solidarité,"État, impôts retenus à la source",44740000,447,0,Tax,Liability,
Autres impôts et contributions,"État, impôts retenus à la source",44780000,447,0,Tax,Liability,
"État, charges à payer et produits à recevoir",État et collectivités publiques,448,44,1,Tax,Liability,
Charges à payer,"État, charges à payer et produits à recevoir",44860000,448,0,Tax,Liability,
Produits à recevoir,"État, charges à payer et produits à recevoir",44870000,448,0,Tax,Liability,
"État, créances et dettes diverses",État et collectivités publiques,449,44,1,Tax,Liability,
"État, obligations cautionnées"",","État, créances et dettes diverses",44910000,449,0,Tax,Liability,
"État, avances et acomptes versés sur impôts","État, créances et dettes diverses",44920000,449,0,Tax,Liability,
"État, fonds de dotation à recevoir","État, créances et dettes diverses",44930000,449,0,Tax,Liability,
"État, subventions d’équipe-ment à recevoir","État, créances et dettes diverses",44940000,449,0,Tax,Liability,
"État, subventions d’exploita-tion à recevoir","État, créances et dettes diverses",44950000,449,0,Tax,Liability,
"État, subventions d’équilibre à recevoir","État, créances et dettes diverses",44960000,449,0,Tax,Liability,
"État, fonds réglementé provisionné","État, créances et dettes diverses",44990000,449,0,Tax,Liability,
Organismes internationaux,Comptes de tiers,45,Classe 4,1,,Liability,
Opérations avec les organismes africains,Organismes internationaux,45100000,45,0,,Liability,
Opérations avec les autres organismes internationaux,Organismes internationaux,45200000,45,0,,Liability,
"Organismes internationaux, fonds de dotation et subventions à recevoir",Organismes internationaux,458,45,1,,Liability,
"Organismes internationaux, fonds de dotation à recevoir","Organismes internationaux, fonds de dotation et subventions à recevoir",45810000,458,0,,Liability,
"Organismes internationaux, subventions à recevoir","Organismes internationaux, fonds de dotation et subventions à recevoir",45820000,458,0,,Liability,
Associés et groupe,Comptes de tiers,46,Classe 4,1,,Liability,
"Associés, opérations sur le capital",Associés et groupe,461,46,1,,Liability,
Associés apports en nature,"Associés, opérations sur le capital",46110000,461,0,,Liability,
Associés apports en numéraire,"Associés, opérations sur le capital",46120000,461,0,,Liability,
"Actionnaires, capital souscrit appelé non versé","Associés, opérations sur le capital",46130000,461,0,,Liability,
"Associés, capital appelé non versé","Associés, opérations sur le capital",46140000,461,0,,Liability,
"Associés, versements reçus sur augmentation de capital","Associés, opérations sur le capital",46150000,461,0,,Liability,
"Associés, versements anticipés","Associés, opérations sur le capital",46160000,461,0,,Liability,
Actionnaires défaillants,"Associés, opérations sur le capital",46170000,461,0,,Liability,
"Associés, autres apports","Associés, opérations sur le capital",46180000,461,0,,Liability,
"Associés, capital à rembourser","Associés, opérations sur le capital",46190000,461,0,,Liability,
"Associés, comptes courants",Associés et groupe,462,46,1,,Liability,
Principal,"Associés, comptes courants",46210000,462,0,,Liability,
Intérêts courus,"Associés, comptes courants",46260000,462,0,,Liability,
"Associés, opérations faites en commun",Associés et groupe,46300000,46,0,,Liability,
"Associés, dividendes à payer",Associés et groupe,46500000,46,0,,Liability,
"Groupe, comptes courants",Associés et groupe,46600000,46,0,,Liability,
"Actionnaires, restant dû sur capital appelé",Associés et groupe,46700000,46,0,,Liability,
Débiteurs et créditeurs divers,Comptes de tiers,47,Classe 4,1,,Liability,
Comptes d’attente,Débiteurs et créditeurs divers,471,47,1,,Liability,
Débiteurs divers,Comptes d’attente,47110000,471,0,,Liability,
Créditeurs divers,Comptes d’attente,47120000,471,0,,Liability,
Versements restant à effectuer sur titres non libérés,Débiteurs et créditeurs divers,472,47,1,,Liability,
Titres de participation,Versements restant à effectuer sur titres non libérés,47260000,472,0,,Liability,
Titres immobilisés,Versements restant à effectuer sur titres non libérés,47270000,472,0,,Liability,
Titres de placement,Versements restant à effectuer sur titres non libérés,47280000,472,0,,Liability,
Répartition périodique des charges et des produits,Débiteurs et créditeurs divers,474,47,1,,Liability,
Charges,Répartition périodique des charges et des produits,47460000,474,0,,Liability,
Produits,Répartition périodique des charges et des produits,47470000,474,0,,Liability,
Créances sur travaux non encore facturables,Débiteurs et créditeurs divers,47500000,47,0,,Liability,
Charges constatées d’avance,Débiteurs et créditeurs divers,47600000,47,0,,Liability,
"Produits constatés d’avance"",",Débiteurs et créditeurs divers,47700000,47,0,,Liability,
Écarts de conversion - actif,Débiteurs et créditeurs divers,478,47,1,,Liability,
Diminution des créances,Écarts de conversion - actif,47810000,478,0,,Liability,
Augmentation des dettes,Écarts de conversion - actif,47820000,478,0,,Liability,
Différences compensées par couverture de change,Écarts de conversion - actif,47880000,478,0,,Liability,
carts de conversion - passif,Débiteurs et créditeurs divers,479,47,1,,Liability,
Augmentation des créances,carts de conversion - passif,47910000,479,0,,Liability,
Diminution des dettes,carts de conversion - passif,47920000,479,0,,Liability,
Différences compensées par couverture de change,carts de conversion - passif,47980000,479,0,,Liability,
Créances et dettes hors activités ordinaires (HAO) ,Comptes de tiers,48,Classe 4,1,,Liability,
Fournisseurs d’investissements,Créances et dettes hors activités ordinaires (HAO) ,481,48,1,,Liability,
Immobilisations incorporelles,Fournisseurs d’investissements,48110000,481,0,,Liability,
Immobilisations corporelles,Fournisseurs d’investissements,48120000,481,0,,Liability,
Retenues de garantie,Fournisseurs d’investissements,48170000,481,0,,Liability,
Factures non parvenues,Fournisseurs d’investissements,48180000,481,0,,Liability,
"Fournisseurs d’investissements, effets à payer",Créances et dettes hors activités ordinaires (HAO) ,48200000,48,0,,Liability,
Dettes sur acquisition de titres de placement,Créances et dettes hors activités ordinaires (HAO) ,48300000,48,0,,Liability,
Autres dettes hors activités ordinaires (HAO),Créances et dettes hors activités ordinaires (HAO) ,48400000,48,0,,Liability,
Créances sur cessions d’immobi-lisations,Créances et dettes hors activités ordinaires (HAO) ,485,48,1,,Liability,
En compte,Créances sur cessions d’immobi-lisations,48510000,485,0,,Liability,
Effets à recevoir,Créances sur cessions d’immobi-lisations,48520000,485,0,,Liability,
Retenues de garantie,Créances sur cessions d’immobi-lisations,48570000,485,0,,Liability,
Factures à établir,Créances sur cessions d’immobi-lisations,48580000,485,0,,Liability,
Créances sur cessions de titres de placement,Créances et dettes hors activités ordinaires (HAO) ,48600000,48,0,,Liability,
Autres créances hors activités ordinaires (HAO),Créances et dettes hors activités ordinaires (HAO) ,48800000,48,0,,Liability,
Dépréciations et risques provisionnés (tiers),Comptes de tiers,49,Classe 4,1,,Liability,
Dépréciations des comptes fournisseurs,Dépréciations et risques provisionnés (tiers),49000000,49,0,,Liability,
Dépréciations des comptes clients,Dépréciations et risques provisionnés (tiers),491,49,1,,Liability,
Créances litigieuses,Dépréciations des comptes clients,49110000,491,0,,Liability,
Créances douteuses,Dépréciations des comptes clients,49120000,491,0,,Liability,
Dépréciations des comptes personnel,Dépréciations et risques provisionnés (tiers),49200000,49,0,,Liability,
Dépréciations des comptes organismes sociaux,Dépréciations et risques provisionnés (tiers),49300000,49,0,,Liability,
Dépréciations des comptes état et collectivités publiques,Dépréciations et risques provisionnés (tiers),49400000,49,0,,Liability,
Dépréciations des comptes organismes internationaux,Dépréciations et risques provisionnés (tiers),49500000,49,0,,Liability,
Dépréciations des comptes associés et groupe,Dépréciations et risques provisionnés (tiers),496,49,1,,Liability,
"Associés, comptes courants",Dépréciations des comptes associés et groupe,49620000,496,0,,Liability,
"Associés, opérations faites en commun",Dépréciations des comptes associés et groupe,49630000,496,0,,Liability,
"Groupe, comptes courants",Dépréciations des comptes associés et groupe,49660000,496,0,,Liability,
Dépréciations des comptes débiteurs divers,Dépréciations et risques provisionnés (tiers),49700000,49,0,,Liability,
Dépréciations des comptes de créances HAO,Dépréciations et risques provisionnés (tiers),498,49,1,,Liability,
Créances sur cessions d’im-mobilisations,Dépréciations des comptes de créances HAO,49810000,498,0,,Liability,
Créances sur cessions de titres de placement,Dépréciations des comptes de créances HAO,49820000,498,0,,Liability,
Autres créances HAO,Dépréciations des comptes de créances HAO,49830000,498,0,,Liability,
Risques provisionnés,Dépréciations et risques provisionnés (tiers),499,49,1,,Liability,
Sur opérations d’exploitation,Risques provisionnés,49910000,499,0,,Liability,
"Sur opérations HAO"",",Risques provisionnés,49980000,499,0,,Liability,
Comptes de trésorerie,,Classe 5,,1,,Asset,
TITRES DE PLACEMENT,Comptes de trésorerie,50,Classe 5,1,,Asset,
Titres du trésor et bons de caisse à court terme,TITRES DE PLACEMENT,501,50,1,,Asset,
Titres du Trésor à court terme,Titres du trésor et bons de caisse à court terme,50110000,501,0,,Asset,
Titres d’organismes financiers,Titres du trésor et bons de caisse à court terme,50120000,501,0,,Asset,
Bons de caisse à court terme,Titres du trésor et bons de caisse à court terme,50130000,501,0,,Asset,
Actions,TITRES DE PLACEMENT,502,50,1,,Asset,
Actions propres,Actions,50210000,502,0,,Asset,
Actions cotées,Actions,50220000,502,0,,Asset,
Actions non cotées,Actions,50230000,502,0,,Asset,
"Actions démembrées (certificats d’investissement, droits de vote)",Actions,50240000,502,0,,Asset,
Autres titres conférant un droit de propriété,Actions,50250000,502,0,,Asset,
Obligations,TITRES DE PLACEMENT,503,50,1,,Asset,
Obligations émises par la société et rachetées par elle,Obligations,50310000,503,0,,Asset,
Obligations cotées,Obligations,50320000,503,0,,Asset,
Obligations non cotées,Obligations,50330000,503,0,,Asset,
Autres titres conférant un droit de créance,Obligations,50350000,503,0,,Asset,
Bons de souscription,TITRES DE PLACEMENT,504,50,1,,Asset,
Bons de souscription d’ac-tions,Bons de souscription,50420000,504,0,,Asset,
Bons de souscription d’obli-gations,Bons de souscription,50430000,504,0,,Asset,
Titres négociables hors région,TITRES DE PLACEMENT,50500000,50,0,,Asset,
Intérêts courus,TITRES DE PLACEMENT,506,50,1,,Asset,
Titres du Trésor et bons de caisse à court terme,Intérêts courus,50610000,506,0,,Asset,
Actions,Intérêts courus,50620000,506,0,,Asset,
Obligations,Intérêts courus,50630000,506,0,,Asset,
Autres valeurs assimilées,TITRES DE PLACEMENT,50800000,50,0,,Asset,
Valeurs à encaisser,Comptes de trésorerie,51,Classe 5,1,,Asset,
Effets à encaisser,Valeurs à encaisser,51100000,51,0,,Asset,
Effets à l’encaissement,Valeurs à encaisser,51200000,51,0,,Asset,
Chèques à encaisser,Valeurs à encaisser,51300000,51,0,,Asset,
Chèques à l’encaissement,Valeurs à encaisser,51400000,51,0,,Asset,
Cartes de crédit à encaisser,Valeurs à encaisser,51500000,51,0,,Asset,
Autres valeurs à l’encaissement,Valeurs à encaisser,518,51,1,,Asset,
Warrants,Autres valeurs à l’encaissement,51810000,518,0,,Asset,
Billets de fonds,Autres valeurs à l’encaissement,51820000,518,0,,Asset,
Chèques de voyage,Autres valeurs à l’encaissement,51850000,518,0,,Asset,
Coupons échus,Autres valeurs à l’encaissement,51860000,518,0,,Asset,
Intérêts échus des obligations,Autres valeurs à l’encaissement,51870000,518,0,,Asset,
BANQUES,Comptes de trésorerie,52,Classe 5,1,Bank,Asset,
BANQUES LOCALES,BANQUES,521,52,1,Bank,Asset,
Banque X,BANQUES LOCALES,52110000,521,0,Bank,Asset,
Banque Y,BANQUES LOCALES,52120000,521,0,Bank,Asset,
Banques autres États région,BANQUES,52200000,52,0,Bank,Asset,
Banques autres États zone monétaire,BANQUES,52300000,52,0,Bank,Asset,
Banques hors zone monétaire,BANQUES,52400000,52,0,Bank,Asset,
"Banques, intérêts courus",BANQUES,52600000,52,0,Bank,Asset,
Établissements financiers et assimilés,Comptes de trésorerie,53,Classe 5,1,Bank,Asset,
Chèques postaux,Établissements financiers et assimilés,53100000,53,0,Bank,Asset,
Trésor,Établissements financiers et assimilés,53200000,53,0,Bank,Asset,
Sociétés de gestion et d’inter-médiation (SGI),Établissements financiers et assimilés,53300000,53,0,Bank,Asset,
"Établissements financiers, intérêts courus",Établissements financiers et assimilés,53600000,53,0,Bank,Asset,
autres organismes financiers,Établissements financiers et assimilés,53800000,53,0,Bank,Asset,
Instruments de trésorerie,Comptes de trésorerie,54,Classe 5,1,Bank,Asset,
Options de taux d’intérêt,Instruments de trésorerie,54100000,54,0,Bank,Asset,
Options de taux de change,Instruments de trésorerie,54200000,54,0,Bank,Asset,
Options de taux boursiers,Instruments de trésorerie,54300000,54,0,Bank,Asset,
Instruments de marchés à terme,Instruments de trésorerie,54400000,54,0,Bank,Asset,
Avoirs d’or et autres métaux précieux [2],Instruments de trésorerie,54500000,54,0,Bank,Asset,
"Banques, crédits de trésorerie et d’escompte",Comptes de trésorerie,56,Classe 5,1,Bank,Asset,
"Banques, crédits de trésorerie et d’escompte",Comptes de trésorerie,56000,Classe 5,0,Bank,Asset,
Crédits de trésorerie,"Banques, crédits de trésorerie et d’escompte",56100000,56,0,Bank,Asset,
Escompte de crédits de campagne,"Banques, crédits de trésorerie et d’escompte",56400000,56,0,Bank,Asset,
Escompte de crédits ordinaires,"Banques, crédits de trésorerie et d’escompte",56500000,56,0,Bank,Asset,
"Banques, crédits de trésorerie, intérêts courus","Banques, crédits de trésorerie et d’escompte",56600000,56,0,Bank,Asset,
CAISSE,Comptes de trésorerie,57,Classe 5,1,Cash,Asset,
Caisse siège social,CAISSE,571,57,1,Cash,Asset,
Caisse siège social,CAISSE,57100,57,0,Cash,Asset,
en unités monétaires légales,Caisse siège social,57110000,571,0,Cash,Asset,
en devises,Caisse siège social,57120000,571,0,Cash,Asset,
Caisse succursale A,CAISSE,572,57,1,Cash,Asset,
en unités monétaires légales,Caisse succursale A,57210000,572,0,Cash,Asset,
en devises,Caisse succursale A,57220000,572,0,Cash,Asset,
Caisse succursale B,CAISSE,573,57,1,Cash,Asset,
en unités monétaires légales,Caisse succursale B,57310000,573,0,Cash,Asset,
en devises,Caisse succursale B,57320000,573,0,Cash,Asset,
"Régies d’avances, accréditifs et virements internes",Comptes de trésorerie,58,Classe 5,1,,Asset,
Régies d’avance,"Régies d’avances, accréditifs et virements internes",58100000,58,0,,Asset,
Accréditifs,"Régies d’avances, accréditifs et virements internes",58200000,58,0,,Asset,
Virements de fonds,"Régies d’avances, accréditifs et virements internes",58500000,58,0,,Asset,
Autres virements internes,"Régies d’avances, accréditifs et virements internes",58800000,58,0,,Asset,
Dépréciations et risques provisionnés,Comptes de trésorerie,59,Classe 5,1,,Asset,
Dépréciations des titres de placement,Dépréciations et risques provisionnés,59000000,59,0,,Asset,
Dépréciations des titres et valeurs à encaisser,Dépréciations et risques provisionnés,59100000,59,0,,Asset,
Dépréciations des comptes banques,Dépréciations et risques provisionnés,59200000,59,0,,Asset,
Dépréciations des comptes établissements financiers et assimilés,Dépréciations et risques provisionnés,59300000,59,0,,Asset,
Dépréciations des comptes d’instruments de trésorerie,Dépréciations et risques provisionnés,59400000,59,0,,Asset,
Risques provisionnés à caractère financier,Dépréciations et risques provisionnés,59900000,59,0,,Asset,
Comptes de charges des activités ordinaires,,Classe 6,,1,,Expense,
Achats et variations de stocks,Comptes de charges des activités ordinaires,60,Classe 6,1,,Expense,
Achats de marchandises,Achats et variations de stocks,601,60,1,,Expense,
Achats de marchandises,Achats et variations de stocks,60000,60,0,,Expense,
dans la Région [3],Achats de marchandises,60110000,601,0,,Expense,
hors Région (1),Achats de marchandises,60120000,601,0,,Expense,
aux entreprises du groupe dans la Région,Achats de marchandises,60130000,601,0,,Expense,
aux entreprises du groupe hors Région,Achats de marchandises,60140000,601,0,,Expense,
"Rabais, Remises et Ristournes obtenus (non ventilés)",Achats de marchandises,60190000,601,0,,Expense,
Achats de matières premières et fournitures liées,Achats et variations de stocks,602,60,1,,Expense,
dans la Région (1),Achats de matières premières et fournitures liées,60210000,602,0,,Expense,
hors Région (1),Achats de matières premières et fournitures liées,60220000,602,0,,Expense,
aux entreprises du groupe dans la Région,Achats de matières premières et fournitures liées,60230000,602,0,,Expense,
aux entreprises du groupe hors Région,Achats de matières premières et fournitures liées,60240000,602,0,,Expense,
"Rabais, Remises et Ristournes obtenus (non ventilés)",Achats de matières premières et fournitures liées,60290000,602,0,,Expense,
Variations des stocks de biens achetés,Achats et variations de stocks,603,60,1,,Expense,
Variations des stocks de marchandises,Variations des stocks de biens achetés,60310000,603,0,Stock Adjustment,Expense,
Variations des stocks de matières premières et fournitures liées,Variations des stocks de biens achetés,60320000,603,0,Stock Adjustment,Expense,
Variations des stocks d’au-tres approvisionnements,Variations des stocks de biens achetés,60330000,603,0,Stock Adjustment,Expense,
Dépenses incluses dans l'évaluation,Variations des stocks de biens achetés,60340000,603,0,Expenses Included In Valuation,Expense,
Variation des immobilisations achetées,Variations des stocks de biens achetés,60350000,603,0,Asset Received But Not Billed,Expense,
Dépenses incluses dans l'évaluation des actifs,Variations des stocks de biens achetés,60360000,603,0,Expenses Included In Asset Valuation,Expense,
Achats stockés de matières et fournitures consommables,Achats et variations de stocks,604,60,1,,Expense,
Matières consommables,Achats stockés de matières et fournitures consommables,60410000,604,0,,Expense,
Matières combustibles,Achats stockés de matières et fournitures consommables,60420000,604,0,,Expense,
Produits d’entretien,Achats stockés de matières et fournitures consommables,60430000,604,0,,Expense,
Fournitures d’atelier et d’usine,Achats stockés de matières et fournitures consommables,60440000,604,0,,Expense,
Fournitures de magasin,Achats stockés de matières et fournitures consommables,60460000,604,0,,Expense,
Fournitures de bureau,Achats stockés de matières et fournitures consommables,60470000,604,0,,Expense,
"Rabais, Remises et Ristournes obtenus (non ventilés)",Achats stockés de matières et fournitures consommables,60490000,604,0,,Expense,
Autres achats,Achats et variations de stocks,605,60,1,,Expense,
Fournitures non stockables -Eau,Autres achats,60510000,605,0,,Expense,
Fournitures non stockables - Électricité,Autres achats,60520000,605,0,,Expense,
Fournitures non stockables - Autres énergies,Autres achats,60530000,605,0,,Expense,
Fournitures d’entretien non stockables,Autres achats,60540000,605,0,,Expense,
Fournitures de bureau non stockables,Autres achats,60550000,605,0,,Expense,
Achats de petit matériel et outillage,Autres achats,60560000,605,0,,Expense,
Achats d’études et prestations de services,Autres achats,60570000,605,0,,Expense,
"Achats de travaux, matériels et équipements",Autres achats,60580000,605,0,,Expense,
"Rabais, Remises et Ristournes obtenus (non ventilés)",Autres achats,60590000,605,0,,Expense,
Achats d’emballages,Achats et variations de stocks,608,60,1,,Expense,
Emballages perdus,Achats d’emballages,60810000,608,0,,Expense,
Emballages récupérables non identifiables,Achats d’emballages,60820000,608,0,,Expense,
Emballages à usage mixte,Achats d’emballages,60830000,608,0,,Expense,
"Rabais, Remises et Ristournes obtenus (non ventilés)"",",Achats d’emballages,60890000,608,0,,Expense,
Transports,Comptes de charges des activités ordinaires,61,Classe 6,1,,Expense,
Transports sur achats [4],Transports,61100000,61,0,,Expense,
Transports sur ventes,Transports,61200000,61,0,,Expense,
Transports pour le compte de tiers,Transports,61300000,61,0,,Expense,
Transports du personnel,Transports,61400000,61,0,,Expense,
Transports de plis,Transports,61600000,61,0,,Expense,
Autres frais de transport,Transports,618,61,1,,Expense,
Voyages et déplacements,Autres frais de transport,61810000,618,0,,Expense,
Transports entre établissements ou chantiers,Autres frais de transport,61820000,618,0,,Expense,
Transports administratifs,Autres frais de transport,61830000,618,0,,Expense,
Services extérieurs A,Comptes de charges des activités ordinaires,62,Classe 6,1,,Expense,
Sous-traitance générale,Services extérieurs A,62100000,62,0,,Expense,
Locations et charges locatives,Services extérieurs A,622,62,1,,Expense,
Locations de terrains,Locations et charges locatives,62210000,622,0,,Expense,
Locations de bâtiments,Locations et charges locatives,62220000,622,0,,Expense,
Locations de matériels et outillages,Locations et charges locatives,62230000,622,0,,Expense,
Malis sur emballages,Locations et charges locatives,62240000,622,0,,Expense,
Locations d’emballages,Locations et charges locatives,62250000,622,0,,Expense,
Locations et charges locatives diverses,Locations et charges locatives,62280000,622,0,,Expense,
Redevances de crédit-bail et contrats assimilés,Services extérieurs A,623,62,1,,Expense,
Crédit-bail immobilier,Redevances de crédit-bail et contrats assimilés,62320000,623,0,,Expense,
Crédit-bail mobilier,Redevances de crédit-bail et contrats assimilés,62330000,623,0,,Expense,
Contrats assimilés,Redevances de crédit-bail et contrats assimilés,62350000,623,0,,Expense,
"Entretien, réparations et maintenance",Services extérieurs A,624,62,1,,Expense,
Entretien et réparations des biens immobiliers,"Entretien, réparations et maintenance",62410000,624,0,,Expense,
Entretien et réparations des biens mobiliers,"Entretien, réparations et maintenance",62420000,624,0,,Expense,
Maintenance,"Entretien, réparations et maintenance",62430000,624,0,,Expense,
Autres entretiens et réparations,"Entretien, réparations et maintenance",62480000,624,0,,Expense,
Primes d’assurance,Services extérieurs A,625,62,1,,Expense,
Assurances multirisques,Primes d’assurance,62510000,625,0,,Expense,
Assurances matériel de transport,Primes d’assurance,62520000,625,0,,Expense,
Assurances risques d’exploi-tation,Primes d’assurance,62530000,625,0,,Expense,
Assurances responsabilité du producteur,Primes d’assurance,62540000,625,0,,Expense,
Assurances insolvabilité clients,Primes d’assurance,62550000,625,0,,Expense,
Assurances transport sur achats,Primes d’assurance,62560000,625,0,,Expense,
Assurances transport sur ventes,Primes d’assurance,62570000,625,0,,Expense,
Autres primes d’assurances,Primes d’assurance,62580000,625,0,,Expense,
"Études, recherches et documentation",Services extérieurs A,626,62,1,,Expense,
"Études, recherches et documentation",Services extérieurs A,62600,62,0,,Expense,
Études et recherches,"Études, recherches et documentation",62610000,626,0,,Expense,
Documentation générale,"Études, recherches et documentation",62650000,626,0,,Expense,
Documentation technique,"Études, recherches et documentation",62660000,626,0,,Expense,
"Publicité, publications, relations publiques",Services extérieurs A,627,62,1,,Expense,
"Annonces, insertions","Publicité, publications, relations publiques",62710000,627,0,,Expense,
"Catalogues, imprimés publicitaires","Publicité, publications, relations publiques",62720000,627,0,,Expense,
Échantillons,"Publicité, publications, relations publiques",62730000,627,0,,Expense,
"Foires et expositions"",","Publicité, publications, relations publiques",62740000,627,0,,Expense,
Publications,"Publicité, publications, relations publiques",62750000,627,0,,Expense,
Cadeaux à la clientèle,"Publicité, publications, relations publiques",62760000,627,0,,Expense,
"Frais de colloques, séminaires, conférences","Publicité, publications, relations publiques",62770000,627,0,,Expense,
Autres charges de publicité et relations publiques,"Publicité, publications, relations publiques",62780000,627,0,,Expense,
rais de télécommunications,Services extérieurs A,628,62,1,,Expense,
Frais de téléphone,rais de télécommunications,62810000,628,0,,Expense,
Frais de télex,rais de télécommunications,62820000,628,0,,Expense,
Frais de télécopie,rais de télécommunications,62830000,628,0,,Expense,
Autres frais de télécommunications,rais de télécommunications,62880000,628,0,,Expense,
Services extérieurs B,Comptes de charges des activités ordinaires,63,Classe 6,1,,Expense,
Frais bancaires,Services extérieurs B,631,63,1,,Expense,
"Frais sur titres (achat, vente, garde)",Frais bancaires,63110000,631,0,,Expense,
Frais sur effets,Frais bancaires,63120000,631,0,,Expense,
Location de coffres,Frais bancaires,63130000,631,0,,Expense,
Commissions sur cartes de crédit,Frais bancaires,63150000,631,0,,Expense,
Frais d’émission d’emprunts,Frais bancaires,63160000,631,0,,Expense,
Autres frais bancaires,Frais bancaires,63180000,631,0,,Expense,
Rémunérations d’intermédiaires et de conseils,Services extérieurs B,632,63,1,,Expense,
Commissions et courtages sur achats,Rémunérations d’intermédiaires et de conseils,63210000,632,0,,Expense,
Commissions et courtages sur ventes,Rémunérations d’intermédiaires et de conseils,63220000,632,0,,Expense,
Rémunérations des transitaires,Rémunérations d’intermédiaires et de conseils,63230000,632,0,,Expense,
Honoraires,Rémunérations d’intermédiaires et de conseils,63240000,632,0,,Expense,
Frais d’actes et de contentieux,Rémunérations d’intermédiaires et de conseils,63250000,632,0,,Expense,
Divers frais,Rémunérations d’intermédiaires et de conseils,63280000,632,0,,Expense,
Frais de formation du personnel,Services extérieurs B,63300000,63,0,,Expense,
"Redevances pour brevets, licences, logiciels et droits similaires",Services extérieurs B,634,63,1,,Expense,
"Redevances pour brevets, licences, concessions et droits similaires","Redevances pour brevets, licences, logiciels et droits similaires",63420000,634,0,,Expense,
Redevances pour logiciels,"Redevances pour brevets, licences, logiciels et droits similaires",63430000,634,0,,Expense,
Redevances pour marques,"Redevances pour brevets, licences, logiciels et droits similaires",63440000,634,0,,Expense,
Cotisations,Services extérieurs B,635,63,1,,Expense,
Cotisations,Cotisations,63510000,635,0,,Expense,
Concours divers,Cotisations,63580000,635,0,,Expense,
Rémunérations de personnel extérieur à l’entreprise,Services extérieurs B,637,63,1,,Expense,
Personnel intérimaire,Rémunérations de personnel extérieur à l’entreprise,63710000,637,0,,Expense,
Personnel détaché ou prêté à l’entreprise,Rémunérations de personnel extérieur à l’entreprise,63720000,637,0,,Expense,
Autres charges externes,Services extérieurs B,638,63,1,,Expense,
Frais de recrutement du personnel,Autres charges externes,63810000,638,0,,Expense,
Frais de déménagement,Autres charges externes,63820000,638,0,,Expense,
Réceptions,Autres charges externes,63830000,638,0,,Expense,
Missions,Autres charges externes,63840000,638,0,,Expense,
Impôts et taxes,Comptes de charges des activités ordinaires,64,Classe 6,1,,Expense,
Impôts et taxes directs,Impôts et taxes,641,64,1,,Expense,
Impôts fonciers et taxes annexes,Impôts et taxes directs,64110000,641,0,,Expense,
"Patentes, licences et taxes annexes",Impôts et taxes directs,64120000,641,0,,Expense,
Taxes sur appointements et salaires,Impôts et taxes directs,64130000,641,0,,Expense,
Taxes d’apprentissage,Impôts et taxes directs,64140000,641,0,,Expense,
Formation professionnelle continue,Impôts et taxes directs,64150000,641,0,,Expense,
Autres impôts et taxes directs,Impôts et taxes directs,64180000,641,0,,Expense,
